image_id,image_path,class_id,breed
Sphynx_179,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Sphynx_179.jpg,34,Sphynx
leonberger_156,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\leonberger_156.jpg,20,leonberger
Bengal_13,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Bengal_13.jpg,6,Bengal
staffordshire_bull_terrier_143,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\staffordshire_bull_terrier_143.jpg,35,staffordshire_bull_terrier
Siamese_102,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Siamese_102.jpg,33,Siamese
newfoundland_159,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\newfoundland_159.jpg,23,newfoundland
japanese_chin_165,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\japanese_chin_165.jpg,18,japanese_chin
Bengal_16,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Bengal_16.jpg,6,Bengal
havanese_179,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\havanese_179.jpg,17,havanese
samoyed_10,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\samoyed_10.jpg,30,samoyed
Persian_200,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Persian_200.jpg,24,Persian
pomeranian_145,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\pomeranian_145.jpg,25,pomeranian
Siamese_18,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Siamese_18.jpg,33,Siamese
leonberger_126,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\leonberger_126.jpg,20,leonberger
scottish_terrier_120,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\scottish_terrier_120.jpg,31,scottish_terrier
english_cocker_spaniel_177,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\english_cocker_spaniel_177.jpg,13,english_cocker_spaniel
staffordshire_bull_terrier_110,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\staffordshire_bull_terrier_110.jpg,35,staffordshire_bull_terrier
wheaten_terrier_16,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\wheaten_terrier_16.jpg,36,wheaten_terrier
pomeranian_126,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\pomeranian_126.jpg,25,pomeranian
german_shorthaired_171,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\german_shorthaired_171.jpg,15,german_shorthaired
Maine_Coon_197,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Maine_Coon_197.jpg,21,Maine_Coon
Maine_Coon_186,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Maine_Coon_186.jpg,21,Maine_Coon
japanese_chin_148,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\japanese_chin_148.jpg,18,japanese_chin
yorkshire_terrier_113,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\yorkshire_terrier_113.jpg,37,yorkshire_terrier
boxer_156,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\boxer_156.jpg,9,boxer
chihuahua_125,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\chihuahua_125.jpg,11,chihuahua
beagle_172,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\beagle_172.jpg,5,beagle
shiba_inu_194,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\shiba_inu_194.jpg,32,shiba_inu
newfoundland_165,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\newfoundland_165.jpg,23,newfoundland
english_setter_114,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\english_setter_114.jpg,14,english_setter
samoyed_128,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\samoyed_128.jpg,30,samoyed
beagle_122,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\beagle_122.jpg,5,beagle
Russian_Blue_164,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Russian_Blue_164.jpg,28,Russian_Blue
chihuahua_178,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\chihuahua_178.jpg,11,chihuahua
american_pit_bull_terrier_125,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\american_pit_bull_terrier_125.jpg,3,american_pit_bull_terrier
chihuahua_187,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\chihuahua_187.jpg,11,chihuahua
Birman_162,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Birman_162.jpg,7,Birman
basset_hound_133,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\basset_hound_133.jpg,4,basset_hound
english_cocker_spaniel_158,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\english_cocker_spaniel_158.jpg,13,english_cocker_spaniel
boxer_170,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\boxer_170.jpg,9,boxer
wheaten_terrier_138,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\wheaten_terrier_138.jpg,36,wheaten_terrier
shiba_inu_16,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\shiba_inu_16.jpg,32,shiba_inu
pug_187,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\pug_187.jpg,26,pug
american_bulldog_136,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\american_bulldog_136.jpg,2,american_bulldog
german_shorthaired_149,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\german_shorthaired_149.jpg,15,german_shorthaired
Russian_Blue_14,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Russian_Blue_14.jpg,28,Russian_Blue
Siamese_159,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Siamese_159.jpg,33,Siamese
Russian_Blue_114,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Russian_Blue_114.jpg,28,Russian_Blue
english_cocker_spaniel_112,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\english_cocker_spaniel_112.jpg,13,english_cocker_spaniel
yorkshire_terrier_129,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\yorkshire_terrier_129.jpg,37,yorkshire_terrier
Sphynx_145,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Sphynx_145.jpg,34,Sphynx
boxer_144,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\boxer_144.jpg,9,boxer
pug_171,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\pug_171.jpg,26,pug
japanese_chin_185,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\japanese_chin_185.jpg,18,japanese_chin
english_cocker_spaniel_184,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\english_cocker_spaniel_184.jpg,13,english_cocker_spaniel
Birman_133,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Birman_133.jpg,7,Birman
german_shorthaired_190,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\german_shorthaired_190.jpg,15,german_shorthaired
beagle_179,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\beagle_179.jpg,5,beagle
english_setter_158,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\english_setter_158.jpg,14,english_setter
yorkshire_terrier_127,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\yorkshire_terrier_127.jpg,37,yorkshire_terrier
keeshond_166,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\keeshond_166.jpg,19,keeshond
Bengal_140,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Bengal_140.jpg,6,Bengal
pomeranian_156,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\pomeranian_156.jpg,25,pomeranian
Abyssinian_123,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Abyssinian_123.jpg,1,Abyssinian
Maine_Coon_132,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Maine_Coon_132.jpg,21,Maine_Coon
yorkshire_terrier_110,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\yorkshire_terrier_110.jpg,37,yorkshire_terrier
Abyssinian_184,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Abyssinian_184.jpg,1,Abyssinian
Maine_Coon_146,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Maine_Coon_146.jpg,21,Maine_Coon
Russian_Blue_108,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Russian_Blue_108.jpg,28,Russian_Blue
leonberger_168,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\leonberger_168.jpg,20,leonberger
Ragdoll_16,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Ragdoll_16.jpg,27,Ragdoll
Abyssinian_190,C:\Users\mahmu\OneDrive\Desktop\Fine-Grained Pet Breed Classification\data\processed\images\Abyssinian_190.jpg,1,Abyssinian
